geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
28,Lateral bending,1.6159,0.00717278,0.99937,0.5888,1.2503,1.4879,1.9395,17.7729,287264.84699861,0.819883,1.3966,5.9409,7.6487,10.7468,17.761,285807.21507934,0.822522,1.2434,5.2882,6.778,9.5198
29,Compression,1.2746,0.00672754,0.999477,0.6128,1.1257,1.3013,1.7277,9.4245,46153.98544855,0.876498,1.1975,4.0615,6.339,11.3236,9.3218,45601.29351819,0.877828,1.1919,3.9565,6.0817,10.7045
29,Lateral bending,1.1471,0.0054038,0.999686,0.4711,0.8968,1.0387,1.3476,13.7911,243608.35041625,0.906325,1.0038,4.6667,6.403,9.702,13.8323,242254.23550273,0.906687,0.9002,4.1306,5.6798,8.4461
30,Compression,2.8945,0.014051,0.99804,1.2196,2.5599,3.0459,3.9273,20.1689,212836.50022546,0.815968,3.5382,9.2053,11.6595,19.0725,20.1069,212213.64599383,0.816441,3.5194,9.1057,11.5478,19.1218
30,Lateral bending,2.0635,0.01086804,0.999021,0.9611,1.8451,2.1389,2.7255,24.646,717159.65248108,0.797373,3.4842,10.3732,14.0735,29.0326,24.5808,715773.7926313,0.798856,3.1277,9.2702,12.5286,26.3625
31,Compression,1.6253,0.00862689,0.99931,0.7911,1.4393,1.6646,2.1996,11.6525,88277.82060339,0.923253,1.5317,5.1947,6.8361,12.0709,11.6512,88040.80650582,0.922742,1.5206,5.1302,6.7941,12.1695
31,Lateral bending,1.1783,0.00591197,0.999684,0.5277,0.9904,1.144,1.457,15.1646,408051.46870973,0.921296,1.9314,5.6522,7.1597,15.5965,15.2099,407857.30720024,0.921036,1.7345,5.039,6.403,13.8782
32,Compression,2.0716,0.01031271,0.998788,0.9145,1.7094,2.0611,3.0827,11.6077,72125.83031772,0.888436,1.6484,5.6503,7.7565,13.3919,11.3801,71019.21534402,0.891819,1.6371,5.54,7.5822,12.0802
32,Lateral bending,1.6472,0.00808104,0.999341,0.7004,1.3263,1.5329,1.9856,15.3788,281795.8385177,0.884928,1.8604,5.4433,7.012,13.9512,15.2698,280002.72208828,0.887648,1.6613,4.8447,6.2244,12.2062
33,Compression,1.4544,0.00734959,0.999246,0.672,1.2574,1.4598,1.9207,10.8428,58822.35088188,0.598102,1.1392,4.5492,6.8818,14.7224,10.8081,58117.86038721,0.593273,1.1206,4.3086,6.5464,14.6106
33,Lateral bending,1.4583,0.00654437,0.999503,0.5748,1.0779,1.2393,1.5722,16.2987,429240.83406375,0.869963,1.5569,5.7279,7.0257,10.1159,16.4238,428379.45588905,0.869805,1.394,5.0919,6.2676,8.8798
34,Compression,2.0303,0.01051432,0.998895,0.9695,1.6949,1.9991,2.7469,11.302,75635.9991041,0.913183,1.5132,5.4718,7.2697,12.0384,11.2742,75207.94795465,0.912925,1.5092,5.4102,7.1508,11.8957
34,Lateral bending,1.1749,0.00576645,0.99968,0.5077,0.9591,1.1142,1.4548,14.349,323493.76813997,0.918529,1.9465,4.7592,6.2862,14.0019,14.4177,323825.52721183,0.918152,1.7447,4.2599,5.595,12.1828
35,Compression,1.6561,0.0084187,0.999165,0.7614,1.4189,1.65,2.1545,8.4669,47075.3048952,0.916678,1.2484,3.4891,5.3795,10.18,8.3113,46298.26577641,0.918705,1.2407,3.4148,5.1026,9.1914
35,Lateral bending,1.1445,0.00540435,0.999691,0.4692,0.8882,1.025,1.3158,12.392,214982.68083602,0.919288,1.2764,3.6277,5.0536,11.2083,12.3625,213507.26269908,0.92062,1.1401,3.228,4.5096,9.118
36,Compression,1.2782,0.00682014,0.999489,0.6228,1.1416,1.3193,1.7277,9.5592,49967.70618907,0.899968,1.2324,4.3619,6.6681,10.6614,9.4598,49404.66019118,0.901051,1.2268,4.2366,6.4071,10.3198
36,Lateral bending,1.0543,0.00504893,0.999735,0.444,0.839,0.9716,1.2473,13.6065,244431.21933494,0.915387,0.9248,4.9669,6.7404,9.7642,13.6374,243015.80831565,0.915676,0.8293,4.3977,5.9846,8.5276
37,Compression,2.5675,0.01274,0.997996,1.1328,2.1368,2.5093,3.286,9.5408,43627.02190189,0.869571,1.6013,3.8716,5.6092,12.5297,9.1435,42462.08998731,0.87859,1.5882,3.8115,5.201,10.7295
37,Lateral bending,3.0668,0.01278843,0.997694,0.9473,2.2213,2.949,4.7635,15.3633,182920.55487501,0.83655,1.5723,4.8464,6.7856,12.5464,15.3236,181034.19374366,0.840342,1.398,4.2591,5.9702,9.9594
38,Compression,1.5277,0.00795286,0.999353,0.7308,1.3122,1.516,2.0272,9.5255,57585.47740259,0.925157,1.153,4.3958,6.5289,9.9186,9.4666,57028.10278991,0.925388,1.1449,4.2144,6.4134,9.5818
38,Lateral bending,1.0547,0.00505243,0.999749,0.4469,0.8387,0.9717,1.2374,13.2192,279540.32930889,0.926522,1.1763,5.036,6.6157,11.3998,13.2127,278106.11298823,0.927031,1.0509,4.4758,5.8878,10.0202
