geometry_id,load_case,L2_rel_u,MAE_u,R2_u,p50_u,p90_u,p95_u,p99_u,L2_rel_vm,MAE_vm,R2_vm,p50_vm,p90_vm,p95_vm,p99_vm,L2_rel_vm_ip,MAE_vm_ip,R2_vm_ip,p50_vm_ip,p90_vm_ip,p95_vm_ip,p99_vm_ip
19,Compression,1.63,0.00645446,0.999312,0.537,1.118,1.3522,1.9256,11.2389,117387.25978405,0.886502,1.4227,6.0268,8.6486,15.564,10.181,108646.58220587,0.905698,1.3258,5.2053,7.5456,13.5147
19,Lateral bending,1.5443,0.00703572,0.999472,0.654,1.1966,1.3776,1.7621,16.4062,443506.57117792,0.850376,1.2483,4.9357,6.7716,13.6519,16.1259,436106.94331998,0.862295,1.07,4.4396,6.0652,12.1953
20,Compression,1.7631,0.00728463,0.99923,0.6262,1.2306,1.4799,2.153,11.1584,157915.84938825,0.903909,1.6842,6.4168,8.6032,13.0643,10.4703,150071.60088547,0.914079,1.5936,5.7686,7.9721,12.134
20,Lateral bending,1.5215,0.00717178,0.999472,0.6439,1.2823,1.4996,1.9759,16.8359,556469.24114233,0.849009,1.4664,5.6824,7.4517,14.9848,16.7449,555453.71939437,0.857283,1.2863,5.1372,6.7636,13.6521
21,Compression,1.8233,0.00772716,0.999127,0.6349,1.3457,1.6277,2.3064,10.9985,114750.18703262,0.914279,1.766,5.8439,8.0564,14.3995,10.1584,107142.6821403,0.926124,1.5382,4.8455,6.7161,12.3129
21,Lateral bending,2.508,0.0134172,0.998373,1.2639,2.1863,2.4744,3.1579,17.1754,359291.43600108,0.855297,1.5585,5.13,7.212,15.6187,16.9083,356391.93809697,0.864995,1.3813,4.6005,6.4956,14.0151
22,Compression,1.3104,0.00583693,0.999483,0.4981,0.9768,1.1622,1.5681,7.7239,102296.88984349,0.948531,1.0959,3.8551,5.6626,10.7481,6.8727,94673.68013963,0.958858,1.0604,3.4669,4.922,8.4775
22,Lateral bending,1.3741,0.00689282,0.999513,0.6273,1.2058,1.391,1.7661,11.6721,343255.29708639,0.938412,0.9657,2.9355,4.773,9.1948,11.692,341045.6514278,0.93967,0.8577,2.5925,4.1756,8.3544
23,Compression,1.2666,0.00540319,0.999563,0.4685,0.9122,1.0758,1.4777,9.1314,130935.55081658,0.925936,1.0796,4.8023,7.3354,12.675,8.356,120719.39759277,0.93708,1.011,4.1648,6.4112,11.8885
23,Lateral bending,1.2751,0.00599211,0.999618,0.5335,1.0678,1.2715,1.6828,13.0304,462516.57545973,0.914018,0.972,3.6612,5.1424,11.6647,13.0228,459282.21475916,0.917047,0.8561,3.2635,4.6146,10.4273
24,Compression,1.6602,0.00695275,0.999221,0.6044,1.1708,1.3668,1.804,11.5719,115753.08513622,0.858009,1.597,6.5475,9.0708,14.9543,10.1998,105272.12924685,0.887849,1.4873,5.4249,7.7038,12.7137
24,Lateral bending,1.7604,0.00794973,0.999291,0.7251,1.3748,1.5932,2.0386,16.1879,449878.87265143,0.866557,1.3466,4.5345,7.0149,11.8082,15.9019,441908.90052898,0.876428,1.1822,4.0104,6.3068,10.4756
25,Compression,1.7713,0.00683215,0.999231,0.5818,1.1703,1.4167,2.0211,11.6752,194332.5197552,0.885456,1.6535,6.2563,8.7327,15.4744,10.9017,182511.74175085,0.898527,1.5454,5.5104,8.0837,14.3201
25,Lateral bending,1.5642,0.00678641,0.999475,0.6011,1.2238,1.459,1.9161,16.1796,664110.07540575,0.850147,1.2587,5.4458,7.2579,14.3726,16.1462,662549.32198449,0.856913,1.1013,4.9046,6.5703,12.8424
26,Compression,1.2844,0.00576666,0.999511,0.4963,0.9554,1.1154,1.4523,8.415,70822.24894366,0.942951,1.1048,4.3436,6.3746,11.446,7.5535,64512.56750118,0.95357,1.019,3.6301,5.3431,9.7958
26,Lateral bending,1.3634,0.00662117,0.999515,0.5612,1.2686,1.5046,1.9433,13.5398,245863.89280533,0.915903,0.9542,3.4844,6.0719,10.6494,13.3466,242380.02075463,0.921133,0.8325,3.0986,5.5327,9.5635
27,Compression,1.4249,0.00617356,0.999452,0.5233,1.0499,1.264,1.7247,8.6584,114829.09300687,0.943935,1.352,4.7353,6.8962,10.5844,8.218,109426.27348231,0.948888,1.2992,4.293,6.1127,10.1826
27,Lateral bending,1.7971,0.00892261,0.999179,0.7722,1.6782,1.9445,2.4432,13.7766,360333.53154711,0.908022,1.0687,4.1421,6.0493,12.5688,13.6654,358482.13632301,0.912257,0.9467,3.7001,5.4064,11.2895
28,Compression,1.4564,0.00631586,0.999398,0.5326,1.0697,1.2837,1.7158,8.1736,126044.86723388,0.949174,1.3805,4.2721,6.2965,9.9854,7.607,118472.83566367,0.955574,1.318,3.8637,5.5395,8.8387
28,Lateral bending,2.0161,0.01022126,0.998924,0.9114,1.8535,2.1218,2.6207,13.1932,383889.52458609,0.917392,1.062,3.8193,5.8164,11.1664,13.1429,382535.38761187,0.920069,0.9488,3.3791,5.1535,10.0209
29,Compression,1.5891,0.00683939,0.999285,0.5604,1.1858,1.4322,1.96,9.7354,92384.18703738,0.933452,1.4967,4.9543,7.2243,12.9084,8.9802,85930.04828505,0.942967,1.3027,4.0174,5.9249,11.0383
29,Lateral bending,2.3438,0.01288128,0.998487,1.2077,2.1027,2.3943,3.0208,16.6678,297632.14112509,0.87434,1.2019,4.7189,7.5212,13.9566,16.394,294280.33251097,0.882402,1.0608,4.2495,6.7484,12.5763
30,Compression,1.5853,0.00730447,0.999185,0.6263,1.2156,1.4141,1.8014,10.2764,67603.42841164,0.907744,1.3812,4.936,7.5996,13.8191,8.7781,60247.36892946,0.93205,1.2529,3.9035,5.7903,11.396
30,Lateral bending,1.3666,0.00673312,0.999497,0.5862,1.2406,1.4633,1.8818,14.5822,232028.10520231,0.906772,1.1376,3.6394,5.747,10.1832,14.2909,227207.48460548,0.913686,0.9845,3.1455,5.0999,9.1563
31,Compression,1.4938,0.00639945,0.999393,0.5371,1.0802,1.2986,1.7931,9.528,75372.04247354,0.92595,1.25,5.1095,7.3498,13.2279,8.6374,69907.84749704,0.938291,1.1505,4.2539,6.2945,10.7662
31,Lateral bending,1.7043,0.00804829,0.999293,0.6802,1.5612,1.8105,2.2905,13.7064,234460.49098615,0.907733,0.9326,3.7702,6.3074,10.6935,13.4724,232422.39051274,0.914566,0.8259,3.3948,5.6762,9.5852
